"filename", "language", "TypeScript React", "SCSS", "comment", "blank", "total"
"/Users/julianklummer/WebProjects/synergic/src/app/App.tsx", "TypeScript React", 12, 0, 0, 2, 14
"/Users/julianklummer/WebProjects/synergic/src/app/AppProvider.tsx", "TypeScript React", 13, 0, 0, 2, 15
"/Users/julianklummer/WebProjects/synergic/src/app/components/PageBrowser/PageBrowser.tsx", "TypeScript React", 83, 0, 0, 11, 94
"/Users/julianklummer/WebProjects/synergic/src/app/components/PageBrowser/PageBrowserItem/PageBrowserItem.tsx", "TypeScript React", 55, 0, 0, 6, 61
"/Users/julianklummer/WebProjects/synergic/src/app/components/PagePreview/PagePreview.tsx", "TypeScript React", 14, 0, 0, 4, 18
"/Users/julianklummer/WebProjects/synergic/src/app/components/TemplateBrowser/TemplateBrowser.tsx", "TypeScript React", 84, 0, 0, 11, 95
"/Users/julianklummer/WebProjects/synergic/src/app/components/TemplateBrowser/TemplateBrowserItem/TemplateBrowserItem.tsx", "TypeScript React", 55, 0, 0, 6, 61
"/Users/julianklummer/WebProjects/synergic/src/app/components/atoms/AddComponent/AddComponent.tsx", "TypeScript React", 74, 0, 0, 4, 78
"/Users/julianklummer/WebProjects/synergic/src/app/components/atoms/AddTemplate/AddTemplate.tsx", "TypeScript React", 76, 0, 0, 4, 80
"/Users/julianklummer/WebProjects/synergic/src/app/components/atoms/LoadingBackdrop/LoadingBackdrop.tsx", "TypeScript React", 15, 0, 0, 2, 17
"/Users/julianklummer/WebProjects/synergic/src/app/components/builderComponents/atomPreview/AtomPreview.tsx", "TypeScript React", 18, 0, 0, 4, 22
"/Users/julianklummer/WebProjects/synergic/src/app/components/builderComponents/moleculesPreview/MoleculePreview.tsx", "TypeScript React", 55, 0, 2, 6, 63
"/Users/julianklummer/WebProjects/synergic/src/app/components/builderComponents/organismPreview/OrganismPreview.tsx", "TypeScript React", 80, 0, 2, 6, 88
"/Users/julianklummer/WebProjects/synergic/src/app/components/componentBrowser/ComponentBrowser.tsx", "TypeScript React", 80, 0, 0, 9, 89
"/Users/julianklummer/WebProjects/synergic/src/app/components/componentBrowser/componentList/AtomList/AtomList.tsx", "TypeScript React", 27, 0, 0, 4, 31
"/Users/julianklummer/WebProjects/synergic/src/app/components/componentBrowser/componentList/BrowserItem/BrowserItem.tsx", "TypeScript React", 85, 0, 0, 7, 92
"/Users/julianklummer/WebProjects/synergic/src/app/components/componentBrowser/componentList/BuilderComponentList/BuilderComponentList.tsx", "TypeScript React", 104, 0, 0, 12, 116
"/Users/julianklummer/WebProjects/synergic/src/app/components/componentBrowser/componentList/ComponentList.tsx", "TypeScript React", 113, 0, 0, 12, 125
"/Users/julianklummer/WebProjects/synergic/src/app/components/composers/gridComposer/GridComposer.tsx", "TypeScript React", 237, 0, 0, 15, 252
"/Users/julianklummer/WebProjects/synergic/src/app/components/composers/gridComposer/gridCell/GridCell.tsx", "TypeScript React", 69, 0, 0, 7, 76
"/Users/julianklummer/WebProjects/synergic/src/app/components/composers/gridComposer/gridCell/gridCellChildren/GridCellChildren.tsx", "TypeScript React", 28, 0, 0, 3, 31
"/Users/julianklummer/WebProjects/synergic/src/app/components/composers/templateComposer/TemplateComposer.tsx", "TypeScript React", 19, 0, 0, 3, 22
"/Users/julianklummer/WebProjects/synergic/src/app/components/molecules/PageSettings/PageSettings.tsx", "TypeScript React", 232, 0, 0, 33, 265
"/Users/julianklummer/WebProjects/synergic/src/app/components/molecules/Sidebar/Sidebar.tsx", "TypeScript React", 17, 0, 0, 3, 20
"/Users/julianklummer/WebProjects/synergic/src/app/components/molecules/SidebarLeftSettings/SidebarLeftSettings.tsx", "TypeScript React", 63, 0, 0, 9, 72
"/Users/julianklummer/WebProjects/synergic/src/app/components/molecules/SidebarRightSettings/SidebarRightSettings.tsx", "TypeScript React", 126, 0, 0, 17, 143
"/Users/julianklummer/WebProjects/synergic/src/app/components/navbar/Navbar.tsx", "TypeScript React", 34, 0, 0, 6, 40
"/Users/julianklummer/WebProjects/synergic/src/app/contexts/CurrentEditedComponentContext.tsx", "TypeScript React", 26, 0, 0, 7, 33
"/Users/julianklummer/WebProjects/synergic/src/app/contexts/CurrentEditedGridCell.tsx", "TypeScript React", 31, 0, 0, 7, 38
