Date : 2021-11-26 20:51:50
Directory : /Users/julianklummer/WebProjects/synergic/src/app
Total : 59 files,  2544 codes, 6 comments, 316 blanks, all 2866 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| TypeScript React |         47 |      2,348 |          6 |        281 |      2,635 |
| SCSS             |         12 |        196 |          0 |         35 |        231 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                         |         59 |      2,544 |          6 |        316 |      2,866 |
| components                                                                                                                                |         25 |      1,843 |          4 |        204 |      2,051 |
| components/PageBrowser                                                                                                                    |          2 |        138 |          0 |         17 |        155 |
| components/PageBrowser/PageBrowserItem                                                                                                    |          1 |         55 |          0 |          6 |         61 |
| components/PagePreview                                                                                                                    |          1 |         14 |          0 |          4 |         18 |
| components/TemplateBrowser                                                                                                                |          2 |        139 |          0 |         17 |        156 |
| components/TemplateBrowser/TemplateBrowserItem                                                                                            |          1 |         55 |          0 |          6 |         61 |
| components/atoms                                                                                                                          |          3 |        165 |          0 |         10 |        175 |
| components/atoms/AddComponent                                                                                                             |          1 |         74 |          0 |          4 |         78 |
| components/atoms/AddTemplate                                                                                                              |          1 |         76 |          0 |          4 |         80 |
| components/atoms/LoadingBackdrop                                                                                                          |          1 |         15 |          0 |          2 |         17 |
| components/builderComponents                                                                                                              |          3 |        153 |          4 |         16 |        173 |
| components/builderComponents/atomPreview                                                                                                  |          1 |         18 |          0 |          4 |         22 |
| components/builderComponents/moleculesPreview                                                                                             |          1 |         55 |          2 |          6 |         63 |
| components/builderComponents/organismPreview                                                                                              |          1 |         80 |          2 |          6 |         88 |
| components/componentBrowser                                                                                                               |          5 |        409 |          0 |         44 |        453 |
| components/componentBrowser/componentList                                                                                                 |          4 |        329 |          0 |         35 |        364 |
| components/componentBrowser/componentList/AtomList                                                                                        |          1 |         27 |          0 |          4 |         31 |
| components/componentBrowser/componentList/BrowserItem                                                                                     |          1 |         85 |          0 |          7 |         92 |
| components/componentBrowser/componentList/BuilderComponentList                                                                            |          1 |        104 |          0 |         12 |        116 |
| components/composers                                                                                                                      |          4 |        353 |          0 |         28 |        381 |
| components/composers/gridComposer                                                                                                         |          3 |        334 |          0 |         25 |        359 |
| components/composers/gridComposer/gridCell                                                                                                |          2 |         97 |          0 |         10 |        107 |
| components/composers/gridComposer/gridCell/gridCellChildren                                                                               |          1 |         28 |          0 |          3 |         31 |
| components/composers/templateComposer                                                                                                     |          1 |         19 |          0 |          3 |         22 |
| components/molecules                                                                                                                      |          4 |        438 |          0 |         62 |        500 |
| components/molecules/PageSettings                                                                                                         |          1 |        232 |          0 |         33 |        265 |
| components/molecules/Sidebar                                                                                                              |          1 |         17 |          0 |          3 |         20 |
| components/molecules/SidebarLeftSettings                                                                                                  |          1 |         63 |          0 |          9 |         72 |
| components/molecules/SidebarRightSettings                                                                                                 |          1 |        126 |          0 |         17 |        143 |
| components/navbar                                                                                                                         |          1 |         34 |          0 |          6 |         40 |
| contexts                                                                                                                                  |          5 |        137 |          0 |         35 |        172 |
| pages                                                                                                                                     |          5 |        158 |          0 |         10 |        168 |
| pages/404                                                                                                                                 |          1 |          4 |          0 |          2 |          6 |
| pages/componentCreator                                                                                                                    |          1 |         46 |          0 |          2 |         48 |
| pages/pageEditor                                                                                                                          |          1 |         34 |          0 |          2 |         36 |
| pages/start                                                                                                                               |          1 |         27 |          0 |          2 |         29 |
| pages/templateEditor                                                                                                                      |          1 |         47 |          0 |          2 |         49 |
| router                                                                                                                                    |          2 |         57 |          0 |          7 |         64 |
| services                                                                                                                                  |          3 |         42 |          2 |          8 |         52 |
| styles                                                                                                                                    |         13 |        207 |          0 |         36 |        243 |
| styles/config                                                                                                                             |          7 |        106 |          0 |         18 |        124 |
| styles/functions                                                                                                                          |          3 |         82 |          0 |         13 |         95 |
| styles/template                                                                                                                           |          2 |         16 |          0 |          4 |         20 |
| types                                                                                                                                     |          3 |         50 |          0 |         10 |         60 |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                                  | language         | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /Users/julianklummer/WebProjects/synergic/src/app/App.tsx                                                                                 | TypeScript React |         12 |          0 |          2 |         14 |
| /Users/julianklummer/WebProjects/synergic/src/app/AppProvider.tsx                                                                         | TypeScript React |         13 |          0 |          2 |         15 |
| /Users/julianklummer/WebProjects/synergic/src/app/components/PageBrowser/PageBrowser.tsx                                                  | TypeScript React |         83 |          0 |         11 |         94 |
| /Users/julianklummer/WebProjects/synergic/src/app/components/PageBrowser/PageBrowserItem/PageBrowserItem.tsx                              | TypeScript React |         55 |          0 |          6 |         61 |
| /Users/julianklummer/WebProjects/synergic/src/app/components/PagePreview/PagePreview.tsx                                                  | TypeScript React |         14 |          0 |          4 |         18 |
| /Users/julianklummer/WebProjects/synergic/src/app/components/TemplateBrowser/TemplateBrowser.tsx                                          | TypeScript React |         84 |          0 |         11 |         95 |
| /Users/julianklummer/WebProjects/synergic/src/app/components/TemplateBrowser/TemplateBrowserItem/TemplateBrowserItem.tsx                  | TypeScript React |         55 |          0 |          6 |         61 |
| /Users/julianklummer/WebProjects/synergic/src/app/components/atoms/AddComponent/AddComponent.tsx                                          | TypeScript React |         74 |          0 |          4 |         78 |
| /Users/julianklummer/WebProjects/synergic/src/app/components/atoms/AddTemplate/AddTemplate.tsx                                            | TypeScript React |         76 |          0 |          4 |         80 |
| /Users/julianklummer/WebProjects/synergic/src/app/components/atoms/LoadingBackdrop/LoadingBackdrop.tsx                                    | TypeScript React |         15 |          0 |          2 |         17 |
| /Users/julianklummer/WebProjects/synergic/src/app/components/builderComponents/atomPreview/AtomPreview.tsx                                | TypeScript React |         18 |          0 |          4 |         22 |
| /Users/julianklummer/WebProjects/synergic/src/app/components/builderComponents/moleculesPreview/MoleculePreview.tsx                       | TypeScript React |         55 |          2 |          6 |         63 |
| /Users/julianklummer/WebProjects/synergic/src/app/components/builderComponents/organismPreview/OrganismPreview.tsx                        | TypeScript React |         80 |          2 |          6 |         88 |
| /Users/julianklummer/WebProjects/synergic/src/app/components/componentBrowser/ComponentBrowser.tsx                                        | TypeScript React |         80 |          0 |          9 |         89 |
| /Users/julianklummer/WebProjects/synergic/src/app/components/componentBrowser/componentList/AtomList/AtomList.tsx                         | TypeScript React |         27 |          0 |          4 |         31 |
| /Users/julianklummer/WebProjects/synergic/src/app/components/componentBrowser/componentList/BrowserItem/BrowserItem.tsx                   | TypeScript React |         85 |          0 |          7 |         92 |
| /Users/julianklummer/WebProjects/synergic/src/app/components/componentBrowser/componentList/BuilderComponentList/BuilderComponentList.tsx | TypeScript React |        104 |          0 |         12 |        116 |
| /Users/julianklummer/WebProjects/synergic/src/app/components/componentBrowser/componentList/ComponentList.tsx                             | TypeScript React |        113 |          0 |         12 |        125 |
| /Users/julianklummer/WebProjects/synergic/src/app/components/composers/gridComposer/GridComposer.tsx                                      | TypeScript React |        237 |          0 |         15 |        252 |
| /Users/julianklummer/WebProjects/synergic/src/app/components/composers/gridComposer/gridCell/GridCell.tsx                                 | TypeScript React |         69 |          0 |          7 |         76 |
| /Users/julianklummer/WebProjects/synergic/src/app/components/composers/gridComposer/gridCell/gridCellChildren/GridCellChildren.tsx        | TypeScript React |         28 |          0 |          3 |         31 |
| /Users/julianklummer/WebProjects/synergic/src/app/components/composers/templateComposer/TemplateComposer.tsx                              | TypeScript React |         19 |          0 |          3 |         22 |
| /Users/julianklummer/WebProjects/synergic/src/app/components/molecules/PageSettings/PageSettings.tsx                                      | TypeScript React |        232 |          0 |         33 |        265 |
| /Users/julianklummer/WebProjects/synergic/src/app/components/molecules/Sidebar/Sidebar.tsx                                                | TypeScript React |         17 |          0 |          3 |         20 |
| /Users/julianklummer/WebProjects/synergic/src/app/components/molecules/SidebarLeftSettings/SidebarLeftSettings.tsx                        | TypeScript React |         63 |          0 |          9 |         72 |
| /Users/julianklummer/WebProjects/synergic/src/app/components/molecules/SidebarRightSettings/SidebarRightSettings.tsx                      | TypeScript React |        126 |          0 |         17 |        143 |
| /Users/julianklummer/WebProjects/synergic/src/app/components/navbar/Navbar.tsx                                                            | TypeScript React |         34 |          0 |          6 |         40 |
| /Users/julianklummer/WebProjects/synergic/src/app/contexts/CurrentEditedComponentContext.tsx                                              | TypeScript React |         26 |          0 |          7 |         33 |
| /Users/julianklummer/WebProjects/synergic/src/app/contexts/CurrentEditedGridCell.tsx                                                      | TypeScript React |         31 |          0 |          7 |         38 |
| /Users/julianklummer/WebProjects/synergic/src/app/contexts/CurrentEditedPage.tsx                                                          | TypeScript React |         23 |          0 |          7 |         30 |
| /Users/julianklummer/WebProjects/synergic/src/app/contexts/CurrentEditedTemplate.tsx                                                      | TypeScript React |         26 |          0 |          7 |         33 |
| /Users/julianklummer/WebProjects/synergic/src/app/contexts/CurrentEditedTemplateComponent.tsx                                             | TypeScript React |         31 |          0 |          7 |         38 |
| /Users/julianklummer/WebProjects/synergic/src/app/index.tsx                                                                               | TypeScript React |         25 |          0 |          2 |         27 |
| /Users/julianklummer/WebProjects/synergic/src/app/pages/404/NoMatch.tsx                                                                   | TypeScript React |          4 |          0 |          2 |          6 |
| /Users/julianklummer/WebProjects/synergic/src/app/pages/componentCreator/ComponentCreator.tsx                                             | TypeScript React |         46 |          0 |          2 |         48 |
