Date : 2021-12-08 23:03:54
Directory : /Users/julianklummer/WebProjects/synergic/src
Total : 102 files,  3758 codes, 30 comments, 489 blanks, all 4277 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| TypeScript React |         83 |      3,412 |         21 |        438 |      3,871 |
| SCSS             |         17 |        338 |          9 |         50 |        397 |
| XML              |          1 |          7 |          0 |          1 |          8 |
| JSON             |          1 |          1 |          0 |          0 |          1 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                     |        102 |      3,758 |         30 |        489 |      4,277 |
| editor                                                                                                                                |         70 |      3,025 |          7 |        377 |      3,409 |
| editor/components                                                                                                                     |         31 |      2,280 |          6 |        255 |      2,541 |
| editor/components/PageBrowser                                                                                                         |          2 |        122 |          0 |         17 |        139 |
| editor/components/PageBrowser/PageBrowserItem                                                                                         |          1 |         55 |          0 |          6 |         61 |
| editor/components/PagePreview                                                                                                         |          4 |        194 |          3 |         30 |        227 |
| editor/components/TemplateBrowser                                                                                                     |          2 |        125 |          0 |         17 |        142 |
| editor/components/TemplateBrowser/TemplateBrowserItem                                                                                 |          1 |         55 |          0 |          6 |         61 |
| editor/components/atoms                                                                                                               |          5 |        193 |          0 |         16 |        209 |
| editor/components/atoms/AddComponent                                                                                                  |          1 |         74 |          0 |          4 |         78 |
| editor/components/atoms/AddTemplate                                                                                                   |          1 |         76 |          0 |          4 |         80 |
| editor/components/atoms/ItemPrimary                                                                                                   |          1 |         14 |          0 |          3 |         17 |
| editor/components/atoms/ItemSecondary                                                                                                 |          1 |         14 |          0 |          3 |         17 |
| editor/components/atoms/LoadingBackdrop                                                                                               |          1 |         15 |          0 |          2 |         17 |
| editor/components/builderComponents                                                                                                   |          3 |        224 |          3 |         21 |        248 |
| editor/components/builderComponents/atomPreview                                                                                       |          1 |         51 |          0 |          6 |         57 |
| editor/components/builderComponents/moleculesPreview                                                                                  |          1 |         93 |          1 |          9 |        103 |
| editor/components/builderComponents/organismPreview                                                                                   |          1 |         80 |          2 |          6 |         88 |
| editor/components/componentBrowser                                                                                                    |          5 |        418 |          0 |         44 |        462 |
| editor/components/componentBrowser/componentList                                                                                      |          4 |        338 |          0 |         35 |        373 |
| editor/components/componentBrowser/componentList/AtomList                                                                             |          1 |         27 |          0 |          3 |         30 |
| editor/components/componentBrowser/componentList/BrowserItem                                                                          |          1 |         97 |          0 |         10 |        107 |
| editor/components/componentBrowser/componentList/CompoundList                                                                         |          1 |         98 |          0 |         10 |        108 |
| editor/components/composers                                                                                                           |          4 |        287 |          0 |         20 |        307 |
| editor/components/composers/gridComposer                                                                                              |          3 |        268 |          0 |         17 |        285 |
| editor/components/composers/gridComposer/gridCell                                                                                     |          2 |         62 |          0 |          6 |         68 |
| editor/components/composers/gridComposer/gridCell/gridCellChildren                                                                    |          1 |         43 |          0 |          3 |         46 |
| editor/components/composers/templateComposer                                                                                          |          1 |         19 |          0 |          3 |         22 |
| editor/components/molecules                                                                                                           |          5 |        685 |          0 |         86 |        771 |
| editor/components/molecules/CellChildrenOverview                                                                                      |          1 |        121 |          0 |         17 |        138 |
| editor/components/molecules/CompoundLevelProps                                                                                        |          1 |        203 |          0 |         22 |        225 |
| editor/components/molecules/GridCellSettings                                                                                          |          1 |        124 |          0 |         12 |        136 |
| editor/components/molecules/PageSettings                                                                                              |          1 |        220 |          0 |         32 |        252 |
| editor/components/molecules/Sidebar                                                                                                   |          1 |         17 |          0 |          3 |         20 |
| editor/components/navbar                                                                                                              |          1 |         32 |          0 |          4 |         36 |
| editor/contexts                                                                                                                       |          7 |        200 |          0 |         49 |        249 |
| editor/pages                                                                                                                          |          5 |        163 |          0 |         10 |        173 |
| editor/pages/404                                                                                                                      |          1 |          4 |          0 |          2 |          6 |
| editor/pages/componentCreator                                                                                                         |          1 |         45 |          0 |          2 |         47 |
| editor/pages/pageEditor                                                                                                               |          1 |         37 |          0 |          2 |         39 |
| editor/pages/start                                                                                                                    |          1 |         30 |          0 |          2 |         32 |
| editor/pages/templateEditor                                                                                                           |          1 |         47 |          0 |          2 |         49 |
| editor/router                                                                                                                         |          2 |         74 |          0 |          7 |         81 |
| editor/services                                                                                                                       |         18 |        199 |          1 |         34 |        234 |
| editor/services/base                                                                                                                  |          3 |         46 |          1 |          9 |         56 |
| editor/services/compounds                                                                                                             |          4 |         41 |          0 |          5 |         46 |
| editor/services/pages                                                                                                                 |          6 |         65 |          0 |         11 |         76 |
| editor/services/templates                                                                                                             |          5 |         47 |          0 |          9 |         56 |
| editor/types                                                                                                                          |          4 |         59 |          0 |         15 |         74 |
| resources                                                                                                                             |         21 |        455 |         23 |         70 |        548 |
| resources/components                                                                                                                  |          5 |        187 |         14 |         37 |        238 |
| resources/components/atoms                                                                                                            |          5 |        187 |         14 |         37 |        238 |
| resources/components/atoms/headline                                                                                                   |          2 |        133 |          0 |         25 |        158 |
| resources/components/atoms/paragraph                                                                                                  |          2 |         39 |          0 |          9 |         48 |
| resources/styles                                                                                                                      |         16 |        268 |          9 |         33 |        310 |
| resources/styles/config                                                                                                               |          7 |        144 |          9 |         11 |        164 |
| resources/styles/editor                                                                                                               |          2 |          9 |          0 |          2 |         11 |
| resources/styles/functions                                                                                                            |          3 |         82 |          0 |         13 |         95 |
| resources/styles/template                                                                                                             |          3 |         29 |          0 |          6 |         35 |
| site                                                                                                                                  |          2 |          8 |          0 |          1 |          9 |
| site/favicon                                                                                                                          |          1 |          1 |          0 |          0 |          1 |
| website                                                                                                                               |          6 |        217 |          0 |         29 |        246 |
| website/pageRender                                                                                                                    |          3 |         63 |          0 |         10 |         73 |
| website/pageRouter                                                                                                                    |          2 |        110 |          0 |         14 |        124 |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                              | language         | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
